[child1:4721] [0] ioctl(fd=259, cmd=0x4008501a, arg=0x9b3fc000) = -1 (Bad address)
[child1:4721] [1] ioctl(fd=259, cmd=0x8008501f, arg=0xc0008000) = -1 (Bad address)
[child1:4721] [2] ioctl(fd=259, cmd=0x80085021, arg=0xffffff7f) = -1 (Bad address)
[child1:4721] [3] ioctl(fd=259, cmd=0x40085022, arg=0xb6ca2000) = -1 (Not a typewriter)
[child1:4721] [4] ioctl(fd=259, cmd=0x40080006, arg=0x0) = -1 (Bad address)
[child1:4721] [5] ioctl(fd=259, cmd=0x80085011, arg=0xc0008000) = -1 (Bad address)
[child1:4721] [6] ioctl(fd=259, cmd=0x80085002, arg=0xffff20e6) = -1 (Bad address)
[child1:4721] [7] ioctl(fd=259, cmd=0x40085030, arg=0x46005428) = -1 (Bad address)
[child1:4721] [8] ioctl(fd=259, cmd=0x40085018, arg=0xb58a2000) = -1 (Bad address)
[child1:4721] [9] ioctl(fd=259, cmd=0, arg=0xb68a2000) = -1 (Not a typewriter)
[child1:4721] [10] ioctl(fd=259, cmd=0x80085019, arg=0xb6da6000) = -1 (Bad address)
[child1:4721] [11] ioctl(fd=259, cmd=0x40085005, arg=0xb4ea2000) = -1 (Bad address)
[child1:4721] [12] ioctl(fd=259, cmd=0x40080006, arg=0xc0008000) = -1 (Bad address)
[child1:4721] [13] ioctl(fd=259, cmd=0x80085031, arg=0xc0008000) = -1 (Bad address)
[child1:4721] [14] ioctl(fd=259, cmd=0x8008500e, arg=0xffff9e7d) = -1 (Bad address)
[child1:4721] [15] ioctl(fd=259, cmd=0x40085030, arg=0xcb1e4432) = -1 (Bad address)
[child1:4721] [16] ioctl(fd=259, cmd=0x80085025, arg=0xc0008000) = -1 (Bad address)
[child1:4721] [17] ioctl(fd=259, cmd=0x80085015, arg=0xc0008000) = -1 (Bad address)
[child1:4721] [18] ioctl(fd=259, cmd=0x40085026, arg=0xb6ba2000) = -1 (Not a typewriter)
[child1:4721] [19] ioctl(fd=259, cmd=0x40080014, arg=0xc0008000) = -1 (Bad address)
[child1:4721] [20] ioctl(fd=259, cmd=0x80011, arg=0xc0008000) = -1 (I/O error)
[child1:4721] [21] ioctl(fd=259, cmd=0x40080000, arg=0xb6ba2000) = -1 (Not a typewriter)
[child1:4721] [22] ioctl(fd=259, cmd=0x40085001, arg=0xb6ba2000) = -1 (Bad address)
[child1:4721] [23] ioctl(fd=259, cmd=0x40085001, arg=0xfbdd431a) = -1 (Bad address)
[child1:4721] [24] ioctl(fd=259, cmd=0x85032, arg=0xc0008000) = -1 (I/O error)
[child1:4721] [25] ioctl(fd=259, cmd=0x4008000b, arg=0xc0008000) = -1 (Bad address)
[child1:4721] [26] ioctl(fd=259, cmd=0x80011, arg=0x11001502) = -1 (I/O error)
[child1:4721] [27] ioctl(fd=259, cmd=0xc0080001, arg=0xfffffcb0) = -1 (Bad address)
[child1:4721] [28] ioctl(fd=259, cmd=0x80085023, arg=0xffffffe6) = -1 (Not a typewriter)
[child1:4721] [29] ioctl(fd=259, cmd=0x8008501b, arg=0xb6ba2000) = -1 (Bad address)
[child1:4721] [30] ioctl(fd=259, cmd=0x4008502a, arg=0xb6ba2000) = -1 (Not a typewriter)
[child1:4721] [31] ioctl(fd=259, cmd=0x8008502d, arg=0xb4ea2000) = -1 (Bad address)
[child1:4721] [32] ioctl(fd=259, cmd=0x40080003, arg=0x24810049) = -1 (Bad address)
[child1:4721] [33] ioctl(fd=259, cmd=0x80085008, arg=0xb60a2000) = -1 (Bad address)
[child1:4721] [34] ioctl(fd=259, cmd=0x40085024, arg=0xb6aa2000) = -1 (Bad address)
[child1:4721] [35] ioctl(fd=259, cmd=0x80085011, arg=0xc0008000) = -1 (Bad address)
[child1:4721] [36] ioctl(fd=259, cmd=0x40085012, arg=0xb6da2000) = -1 (Bad address)
[child1:4721] [37] ioctl(fd=259, cmd=0x40085001, arg=0x4072d5c2) = -1 (Bad address)
[child1:4721] [38] ioctl(fd=259, cmd=0x80085010, arg=0x3001000) = -1 (Not a typewriter)
[child1:4721] [39] ioctl(fd=259, cmd=0x4008000b, arg=0xb6ba2000) = -1 (Bad address)
[child1:4721] [40] ioctl(fd=259, cmd=0x4008502f, arg=0xc0008000) = -1 (Bad address)
[child1:4721] [41] ioctl(fd=259, cmd=0x80085031, arg=0xc0008000) = -1 (Bad address)
[child1:4721] [42] ioctl(fd=259, cmd=0x80085021, arg=0x8d19af2) = -1 (Bad address)
[child1:4721] [43] ioctl(fd=259, cmd=0x8008501d, arg=0xb60a2000) = -1 (Bad address)
