[child1:5067] [0] ioctl(fd=259, cmd=0x40080005, arg=0xc0008000) = -1 (Not a typewriter)
[child1:5067] [1] ioctl(fd=259, cmd=0x8008500c, arg=0xffffbebe) = -1 (Bad address)
[child1:5067] [2] ioctl(fd=259, cmd=0x40085012, arg=0xc0008000) = -1 (Bad address)
[child1:5067] [3] ioctl(fd=259, cmd=0x40080003, arg=0xc0008000) = -1 (Bad address)
[child1:5067] [4] ioctl(fd=259, cmd=0x80085008, arg=0xf7ffffb6) = -1 (Bad address)
[child1:5067] [5] ioctl(fd=259, cmd=0x80085031, arg=0xc0008000) = -1 (Bad address)
[child1:5067] [6] ioctl(fd=259, cmd=0x80085025, arg=0xb6abd000) = -1 (Bad address)
[child1:5067] [7] ioctl(fd=259, cmd=0x80085029, arg=0xc0008000) = -1 (Not a typewriter)
[child1:5067] [8] ioctl(fd=259, cmd=0x80085006, arg=0xc0008000) = -1 (Bad address)
[child1:5067] [9] ioctl(fd=259, cmd=0xc0080001, arg=0xffff4000) = -1 (Bad address)
[child1:5067] [10] ioctl(fd=259, cmd=0x80085008, arg=0xb58bd000) = -1 (Bad address)
[child1:5067] [11] ioctl(fd=259, cmd=0x80085019, arg=0xb44bd000) = -1 (Bad address)
[child1:5067] [12] ioctl(fd=259, cmd=0x80085002, arg=0xb58bd000) = -1 (I/O error)
[child1:5067] [13] ioctl(fd=259, cmd=0x40080003, arg=0x80000000) = -1 (Bad address)
[child1:5067] [14] ioctl(fd=259, cmd=0x4008500d, arg=0xb6dbf000) = -1 (Bad address)
[child1:5067] [15] ioctl(fd=259, cmd=0x40080003, arg=0xa7ebbfff) = -1 (Bad address)
[child1:5067] [16] ioctl(fd=259, cmd=0x40085026, arg=0xef6b50a7) = -1 (Not a typewriter)
[child1:5067] [17] ioctl(fd=259, cmd=0x4008501e, arg=0xe1051bb4) = -1 (Bad address)
[child1:5067] [18] ioctl(fd=259, cmd=0x40085012, arg=0x0) = -1 (Bad address)
[child1:5067] [19] ioctl(fd=259, cmd=0x40080010, arg=0xffffffff) = -1 (Bad address)
[child1:5067] [20] ioctl(fd=259, cmd=0x8500f, arg=0x80000091) = 0
[child1:5067] [21] ioctl(fd=259, cmd=0x4008501c, arg=0xb4ebd000) = -1 (Bad address)
[child1:5067] [22] ioctl(fd=259, cmd=0x4008000f, arg=0xb6abd000) = -1 (Bad address)
[child1:5067] [23] ioctl(fd=259, cmd=0x40085022, arg=0xc0008000) = -1 (Not a typewriter)
